species,filename,year,month,day,eventDate,doy,decimalLatitude,decimalLongitude,elevation,elevationAccuracy,coordinateUncertaintyInMeters,verbatimElevation,n_leaves,area,perimeter,bbox_min_long_side,bbox_min_short_side,aspect_ratio,circularity,convexity,concavity
Geum montanum,3383282542,1937,8,9,1937-08-09T00:00,221,46.321457,8.094995,2600,NA,NA,NA,5,3.57,11.15,3.15,2,0.89038,0.447103,0.855422,0.144578
Geum montanum,3383282594,1846,NA,NA,1846,NA,46.019166,7.745833,1624,NA,NA,NA,7,1.27,6.08,1.85,0.98,0.844444,0.400947,0.86551,0.13449
Geum montanum,3383282921,1880,5,21,1880-05-21T00:00,142,46.118333,7.2,2433,NA,NA,2450 m,15,3.24,10.11,2.63,1.96,0.860215,0.449608,0.877144,0.122856
Geum montanum,3383282974,1883,8,NA,1883-08,NA,46.019167,7.745833,1624,NA,NA,NA,5,1.7,6.81,2.14,1.35,0.887029,0.507724,0.893382,0.106618
Geum montanum,3383283005,1953,5,24,1953-05-24T00:00,144,46.207777,7.865278,2078,NA,NA,2100 m,10,1.65,6.525,1.755,1.41,1.072894,0.5466409999999999,0.9200919999999999,0.079908
Geum montanum,3383283933,1948,5,NA,1948-05,NA,46.122222,7.931944,1706,NA,NA,1700 m,16,2.5250000000000004,8.315,2.3200000000000003,1.71,1.002463,0.35846849999999997,0.865278,0.134722
Geum montanum,3383284461,1903,8,NA,1903-08,67,46.00415,7.742872,1916,NA,NA,2500 m,19,1.47,6.42,1.76,1.4,1.022727,0.503628,0.901028,0.098972
Geum montanum,3383284861,1948,7,2,1948-07-02T00:00,184,46.098055,7.929722,2107,NA,NA,NA,20,2.205,8.84,2.315,1.755,1.0293325,0.348861,0.8269725,0.1730275
Geum montanum,3383284908,1979,6,3,1979-06-03T00:00,154,46.291944,7.777222,1319,NA,NA,NA,9,2.97,7.92,2.47,1.82,0.966258,0.455413,0.885783,0.114217
Geum montanum,3383285498,1902,NA,NA,1902,NA,45.983611,7.782778,3099,NA,NA,NA,17,1.23,7.16,1.93,1.41,0.965347,0.374166,0.861233,0.138767
Geum montanum,3383285625,1895,7,NA,1895-07,NA,46.217777,7.680278,2498,NA,NA,2500 m,8,1.915,6.9350000000000005,1.84,1.53,1.0731815,0.465302,0.8974085,0.1025915
Geum montanum,3383286097,1905,6,13,1905-06-13T00:00,164,46.141667,7.075,1683,NA,NA,1680 m,24,2.77,8.665,2.285,1.91,0.9519960000000001,0.5158965,0.9035635,0.09643650000000001
Geum montanum,3383286507,1872,6,NA,1872-06,NA,46.246667,8.028333,1995,NA,NA,NA,22,1.585,6.915,1.9649999999999999,1.3399999999999999,0.8709795,0.4133315,0.8655634999999999,0.13443650000000001
Geum montanum,3383286592,1957,7,26,1957-07-26T00:00,207,46.016111,7.431667,2860,NA,NA,NA,4,0.31,3.065,1.065,0.5700000000000001,0.8563590000000001,0.415454,0.827188,0.17281200000000002
Geum montanum,3383287491,1907,8,19,1907-08-19T00:00,231,45.983611,7.782778,3099,NA,NA,NA,7,1.08,5.04,1.56,1.08,1.320513,0.533717,0.913134,0.086866
Geum montanum,3383287898,1922,6,4,1922-06-04T00:00,155,46.109167,6.975833,1668,NA,NA,1670 m,24,2.705,8.57,2.3499999999999996,1.73,0.9399109999999999,0.417566,0.8777010000000001,0.122299
Geum montanum,3383287904,1887,8,26,1887-08-26T00:00,238,46.027499,7.965556,2189,NA,NA,2150 m,8,3.76,11.34,2.62,2.45,1.2725975,0.370621,0.834964,0.16503600000000002
Geum montanum,3383316558,2005,8,11,2005-08-11T00:00,223,46.178271,7.691885,2081,NA,NA,2090 m,4,1.12,4.8,1.46,1.045,0.7796935,0.5372425000000001,0.9255964999999999,0.0744035
Geum montanum,3383316574,1880,7,NA,1880-07,NA,46.416111,7.717222,2692,NA,NA,NA,3,1.54,6.27,1.85,1.33,1.309179,0.43571,0.894345,0.105655
Geum montanum,3383316604,1925,7,29,1925-07-29T00:00,210,46.005278,7.627222,2857,NA,NA,2860 m,1,0.37,3.24,0.99,0.63,1.619469,0.443186,0.887063,0.112937
Geum montanum,3383316994,1991,7,4,1991-07-04T00:00,185,46.394444,8.046667,2305,NA,NA,2300 m,5,2.94,11.58,2.69,2.02,1.190883,0.25067,0.774288,0.225712
Geum montanum,3383317767,1976,7,14,1976-07-14T00:00,196,46.5425,10.433056,2503,NA,NA,NA,28,2.11,8.094999999999999,2.09,1.645,0.9058165,0.399101,0.8733394999999999,0.1266605
Geum montanum,3383318465,1952,6,15,1952-06-15T00:00,167,46.000556,7.751667,2239,NA,NA,2240 m,20,4.835,12.315000000000001,3.145,2.54,1.0763725,0.404577,0.8929005000000001,0.1070995
Geum montanum,3383318938,1907,8,5,1907-08-05T00:00,217,45.936111,7.3875,2476,NA,NA,2470 m,5,1.67,6.63,1.77,1.54,0.996032,0.42468,0.893202,0.106798
Geum montanum,3383318965,1872,7,5,1872-07-05T00:00,187,45.872777,7.173611,2560,NA,NA,NA,21,3.97,11.46,2.96,2.19,0.842004,0.315417,0.834297,0.165703
Geum montanum,3383318966,1923,6,29,1923-06-29T00:00,180,45.8675,7.163633,2459,NA,NA,2450 m,12,3.705,9.99,2.8049999999999997,1.92,0.889491,0.398274,0.8879105,0.11208950000000001
Geum montanum,3383319508,1925,6,13,1925-06-13T00:00,164,46.251389,7.845556,2051,NA,NA,2050 m,7,0.42,3.69,1.5,0.48,0.682464,0.406726,0.902959,0.097041
Geum montanum,3383319532,2005,8,7,2005-08-07T00:00,219,46.138381,7.954639,2347,NA,NA,2360 m,3,2.91,8.74,2.66,1.71,0.811966,0.479843,0.91319,0.08681
Geum montanum,3383319596,1908,8,2,1908-08-02T00:00,215,45.884722,7.1895,2201,NA,NA,2200 m,7,1.94,9.13,2.19,1.86,0.93913,0.383125,0.878699,0.121301
Geum montanum,3383319609,1904,7,20,1904-07-20T00:00,202,46.272778,8.062778,2194,NA,NA,NA,10,4.205,12.955,2.98,2.145,1.032108,0.31516,0.8713625,0.12863750000000002
Geum montanum,3383319903,1985,6,24,1985-06-24T00:00,175,46.028365,7.212636,2120,NA,NA,2100 - 2140 m,21,1.77,6.82,2.13,1.36,0.963855,0.41818,0.835645,0.164355
Geum montanum,3383319946,1887,7,3,1887-07-03T00:00,184,46.363055,7.6375,2005,NA,NA,2000 m,7,2.18,7.76,2.24,1.59,1.166667,0.4157,0.890918,0.109082
Geum montanum,3383320021,1949,6,6,1949-06-06T00:00,157,46.205,7.863611,2047,NA,NA,2040 m,25,1.31,5.91,1.73,1.25,0.961039,0.424868,0.881495,0.118505
Geum montanum,3383320578,1892,7,NA,1892-07,NA,46.156389,7.291389,2442,NA,NA,NA,12,3.3449999999999998,9.135000000000002,2.6,1.94,0.8291855,0.5643245,0.919694,0.080306
Geum montanum,3383320623,1895,7,17,1895-07-17T00:00,198,46.196388,7.688611,2298,NA,NA,2300 m,19,1.9,6.7,1.91,1.53,1.04902,0.428884,0.879259,0.120741
Geum montanum,3383321062,1916,7,NA,1916-07,NA,46.061111,7.997778,2302,NA,NA,2300 m,6,2.15,7.38,1.97,1.645,0.857891,0.50529,0.907635,0.092365
Geum montanum,3383321480,1923,7,17,1923-07-17T00:00,198,46.366111,7.966111,2010,NA,NA,NA,9,1.78,5.68,1.57,1.47,1.244275,0.642759,0.927967,0.072033
Geum montanum,3383321524,1885,7,23,1885-07-23T00:00,204,46.016848,7.326336,1744,NA,2079,NA,8,5.25,10.445,3.09,2.36,1.0275954999999999,0.57267,0.9367285000000001,0.06327150000000001
Geum montanum,3383322059,1981,8,18,1981-08-18T00:00,230,46.092222,7.898611,2451,NA,NA,2450 m,8,2.375,7.505000000000001,2.23,1.37,1.5477910000000001,0.4430465,0.8788975,0.1211025
Geum montanum,3383324430,1888,8,25,1888-08-25T00:00,238,46.039444,7.962222,2189,NA,NA,NA,15,4.77,14.38,3.16,2.71,0.973236,0.279088,0.860452,0.139548
Geum montanum,3383324484,1871,7,26,1871-07-26T00:00,207,46.431388,8.094167,2919,NA,NA,NA,11,2.79,9.74,2.34,1.85,1.181132,0.379036,0.851756,0.148244
Geum montanum,3383324871,1982,6,29,1982-06-29T00:00,180,46.110277,7.638333,2020,NA,NA,1800 - 2200 m,16,4.24,10.48,2.67,2.39,1.014674,0.3938775,0.860355,0.13964500000000002
Geum montanum,3383324896,1907,7,5,1907-07-05T00:00,186,45.992222,7.706111,2541,NA,NA,NA,14,2.515,7.465,2.165,1.77,0.9197715,0.4648055,0.8935625,0.10643749999999999
Geum montanum,3383324906,1876,8,18,1876-08-18T00:00,231,45.939444,7.384722,2502,NA,NA,2500 m,9,2.62,8.58,2.32,1.81,1.076923,0.447304,0.908173,0.091827
Geum montanum,3383325509,1905,6,NA,1905-06,126,46.00415,7.742872,1916,NA,NA,NA,3,2.02,6.36,1.93,1.75,0.9,0.551658,0.914174,0.085826
Geum montanum,3383325550,1914,7,NA,1914-07,NA,46.2525,7.593889,1965,NA,NA,NA,12,1.19,6.49,2.025,0.975,1.048209,0.384286,0.8267905,0.17320950000000002
Geum montanum,3383325630,1889,6,10,1889-06-10T00:00,161,46.1025,7.618333,2451,NA,NA,NA,3,0.96,5.63,1.57,1.08,0.921296,0.35324,0.812969,0.187031
Geum montanum,3383325933,1982,7,1,1982-07-01T00:00,182,46.144156,7.594702,2551,NA,NA,2450 - 2800 m,6,2.7750000000000004,10.425,2.4299999999999997,1.835,1.2296065,0.2928595,0.833118,0.166882
Geum montanum,3383325970,1888,7,23,1888-07-23T00:00,205,46.605278,9.221111,2157,NA,NA,2150 m,15,1.56,6.56,1.83,1.34,0.891667,0.510362,0.915289,0.084711
Geum montanum,3383326449,1918,7,19,1918-07-19T00:00,200,46.260833,7.603611,2351,NA,NA,2300 - 2400 m,23,1.56,6.32,1.86,1.43,0.978448,0.491461,0.903936,0.096064
Geum montanum,3383326452,1950,8,9,1950-08-09T00:00,221,46.075,7.948056,2405,NA,NA,2400 m,16,1.52,7.484999999999999,1.755,1.3900000000000001,0.9887225,0.3530695,0.8635565000000001,0.1364435
Geum montanum,3383326828,1982,6,30,1982-06-30T00:00,181,46.151388,7.635278,NA,NA,NA,2100 - 2400 m,15,3.35,9.47,2.64,1.96,1.022472,0.358072,0.820465,0.179535
Geum montanum,3383330595,2005,8,2,2005-08-02T00:00,214,46.021831,7.725264,2594,NA,NA,2600 m,4,1.075,5.3,1.455,1.1549999999999998,0.9177575,0.4620575,0.8875915000000001,0.1124085
Geum montanum,3383330676,1832,7,NA,1832-07,NA,46.411465,7.621032,2207,NA,NA,NA,4,2.75,8.33,2.395,1.95,0.9578850000000001,0.47322600000000004,0.8885315,0.1114685
Geum montanum,3383330704,1887,7,27,1887-07-27T00:00,208,46.12883,7.919769,2045,NA,NA,NA,5,0.49,3.07,0.98,0.72,1.264957,0.530152,0.916279,0.083721
Geum montanum,3383330961,1948,5,28,1948-05-28T00:00,149,46.103056,7.901667,2507,NA,NA,NA,19,2.65,8.21,2.34,1.87,1.079585,0.367545,0.865042,0.134958
Geum montanum,3383330986,1985,6,24,1985-06-24T00:00,175,46.028365,7.212636,2120,NA,NA,2100 - 2140 m,21,2.12,8.03,2.31,1.58,1.063604,0.404136,0.866246,0.133754
Geum montanum,3383332525,1904,7,15,1904-07-15T00:00,197,46.405277,7.6125,NA,NA,NA,NA,35,1.14,5.41,1.64,1.11,1.054645,0.52502,0.906652,0.093348
Geum montanum,3383332687,1895,7,18,1895-07-18T00:00,199,46.212222,7.720556,2296,NA,NA,2300 m,6,2.935,9.739999999999998,2.4050000000000002,1.915,1.1335565,0.381591,0.8721355,0.1278645
Geum montanum,3383333032,1917,9,7,1917-09-07T00:00,250,45.948056,7.361944,2001,NA,NA,2000 m,6,6.385,12.08,3.02,2.5300000000000002,0.765231,0.305923,0.8306534999999999,0.1693465
Geum montanum,3383333129,1945,7,22,1945-07-22T00:00,203,46.094871,7.936061,2343,NA,NA,2370 m,34,3.215,9.805,2.62,1.83,0.7792185,0.37527350000000004,0.8643565,0.1356435
Geum montanum,3883980343,2018,6,20,2018-06-20,171,47.784722,14.315556,1880,NA,50,NA,19,8.01,18.78,3.76,2.83,0.894144,0.301351,0.817969,0.182031
Geum montanum,4423627318,1961,8,13,1961-08-13T00:00,225,46.096317,7.591843,2500,NA,449,2500m,6,4.99,11.245,2.8600000000000003,2.13,0.7905785000000001,0.4550145,0.8965685,0.1034315
Geum montanum,4511798681,2018,5,12,2018-05-12,132,47.20979,15.06782,1525,NA,100,NA,21,3.88,10.15,2.83,2.15,0.933162,0.405605,0.904305,0.095695
Geum montanum,4869256460,1988,6,24,1988-06-24T00:00,176,46.639876,9.525082,1980,NA,630,1980m,20,3.2199999999999998,9.075,2.305,2.1,0.9554199999999999,0.5171969999999999,0.913162,0.086838
Geum montanum,4997679002,1955,6,28,1955-06-28,179,47.725,15.708333,NA,NA,2500,NA,18,1.325,6.720000000000001,2.0300000000000002,1.25,0.6744075,0.41843600000000003,0.8592265,0.1407735
Geum montanum,4997682202,1955,6,28,1955-06-28,179,47.725,15.708333,1600,NA,2500,NA,13,5.17,12.91,3,2.45,0.905495,0.425835,0.886206,0.113794
Geum montanum,4997688727,1998,7,1,1998-07-01,182,46.875,10.708333,2500,NA,2500,NA,23,2.46,9.26,2.24,1.48,0.83165,0.400313,0.863603,0.136397
Geum montanum,5004408655,1965,6,29,1965-06-29,180,47.53306,14.97278,1400,NA,500,NA,3,1.57,7.44,1.82,1.57,1.08,0.357022,0.840692,0.159308
Geum montanum,5058126380,1902,8,4,1902-08-04T00:00,216,46.880742,9.714278,NA,NA,NA,NA,10,1.725,5.955,1.705,1.42,1.0740435,0.560694,0.9118035,0.08819650000000001
Geum montanum,5058128367,1903,7,18,1903-07-18T00:00,199,46.889703,9.72092,NA,NA,NA,NA,8,3.2750000000000004,10.75,3.045,1.99,0.840545,0.379123,0.8479345,0.15206550000000002
Geum montanum,5887172303,1907,7,6,1907-07-06T00:00,187,46.448904,9.601451,2554,NA,778,NA,2,1.4649999999999999,5.615,1.65,1.21,0.8235535,0.583907,0.934663,0.065337
Geum montanum,5887172306,1899,7,31,1899-07-31T00:00,212,46.556841,10.070279,2689,NA,NA,NA,8,3.9050000000000002,11.04,2.98,2.25,0.885867,0.4035655,0.8734234999999999,0.1265765
Geum montanum,5887172307,1905,8,25,1905-08-25T00:00,237,46.516953,9.904974,2200,NA,NA,2200m,19,2.8,9.82,2.37,1.81,0.958042,0.380425,0.889741,0.110259
Geum montanum,5887172308,1913,10,12,1913-10-12T00:00,285,46.814566,9.992883,2000,NA,611,2000m,4,3.1449999999999996,8.54,2.585,1.79,0.7586175,0.467842,0.9035255,0.0964745
Geum montanum,5887172310,1874,7,20,1874-07-20T00:00,201,46.500612,9.095221,2310,NA,NA,NA,5,1.07,7.67,1.94,1.32,1.061433,0.370746,0.867137,0.132863
Geum montanum,5887172311,1897,4,30,1897-04-30T00:00,120,46.544851,9.234788,1752,NA,247,1750m,16,2.285,8.185,2.125,1.725,0.948288,0.475927,0.9133560000000001,0.086644
Geum montanum,5887172313,1916,6,1,1916-06-01T00:00,153,46.490403,9.825027,1960,NA,489,NA,9,3.41,9.95,2.76,1.85,0.890995,0.434933,0.878305,0.121695
Geum montanum,5887172329,1913,6,15,1913-06-15T00:00,166,46.523417,9.90782,2400,NA,738,2400m,8,2.4400000000000004,8.65,2.23,1.6749999999999998,0.9976635,0.38047949999999997,0.867096,0.132904
Geum montanum,5887172340,1889,8,1,1889-08-01T00:00,213,46.917065,9.733893,1000,NA,1900,1000m,18,1.675,6.75,1.9300000000000002,1.3450000000000002,1.1077400000000002,0.3980585,0.8727195,0.12728050000000002
Geum montanum,5887172341,1878,7,10,1878-07-10T00:00,191,46.62284,9.797045,2600,NA,464,2600m,12,4.225,12.475000000000001,2.92,2.205,1.1635309999999999,0.353914,0.865722,0.134278
Geum montanum,5887172344,2005,7,29,2005-07-29T00:00,210,46.733677,10.192577,2050,NA,NA,2050m,7,1.96,7.26,2.39,1.35,1.181818,0.469989,0.872207,0.127793
Geum montanum,5887172347,2005,7,27,2005-07-27T00:00,208,46.726213,10.125506,2690,NA,NA,2690m,9,3.69,12.8,3.06,1.92,0.962637,0.329004,0.781874,0.218126
Geum montanum,5887172349,1903,7,22,1903-07-22T00:00,203,46.640634,10.328472,NA,NA,728,NA,12,0.64,4.67,1.475,0.65,0.9073485,0.430447,0.888522,0.111478
Geum montanum,5887172357,1960,5,9,1960-05-09T00:00,130,46.850344,9.270272,1500,NA,345,1500m,6,2.645,8.575,2.2399999999999998,1.905,1.2181895,0.397543,0.8776215,0.1223785
Geum montanum,5887172362,1909,5,28,1909-05-28T00:00,148,46.762706,8.887297,NA,NA,4494,NA,20,1.65,6.744999999999999,1.92,1.45,0.9248400000000001,0.44662999999999997,0.8879090000000001,0.112091
Geum montanum,5887172369,1914,6,3,1914-06-03T00:00,154,46.374201,10.0317,2092,NA,NA,NA,12,1.98,7.295,1.8900000000000001,1.49,0.966805,0.4729445,0.8802814999999999,0.1197185
Geum montanum,5887172374,1888,6,NA,1888-06,NA,46.762747,8.87633,1600,NA,NA,1600m,14,4.145,12.415,3.145,2.205,1.0706255,0.383608,0.8726455,0.1273545
